iter	RMSE
280	24719.12629
281	24715.61305
282	24710.0526
283	24699.54208
284	24693.27056
285	24684.10856
286	24675.42367
287	24669.77273
288	24658.55429
289	24645.18446
290	24639.81903
291	24629.2975
292	24624.69698
293	24611.25031
294	24602.90412
295	24597.53055
296	24587.41008
297	24575.17701
298	24562.07843
299	24551.37031
300	24545.42352
301	24542.43367
302	24532.96472
303	24521.87194
304	24513.33744
305	24507.8763
306	24498.975
307	24491.33962
308	24489.58161
309	24482.39406
310	24474.75686
311	24468.89691
312	24463.58561
313	24458.84992
314	24453.84785
315	24449.79267
316	24443.91214
317	24435.26538
318	24424.42333
319	24422.19154
320	24412.95181
321	24410.4876
322	24405.10883
323	24400.68531
324	24393.44409
325	24386.72035
326	24384.47549
327	24378.17566
328	24370.19356
329	24365.70043
330	24364.1058
331	24360.78987
332	24350.03632
333	24341.5221
334	24339.56898
335	24332.12648
336	24328.23292
337	24321.08795
338	24317.66625
339	24312.4516
340	24304.21753
341	24299.42569
342	24295.89256
343	24292.75176
344	24284.59113
345	24276.7791
346	24274.67056
347	24265.42965
348	24256.33396
349	24252.65629
350	24250.73863
351	24244.76269
352	24239.19186
353	24227.68975
354	24222.30671
355	24217.2837
356	24213.59172
357	24205.03445
358	24195.16908
359	24191.71589
360	24183.67034
361	24180.077
362	24169.61131
363	24166.13164
364	24161.47198
365	24156.4871
366	24153.22268
367	24143.97527
368	24140.0473
369	24133.93181
370	24126.82429
371	24120.86409
372	24115.53895
373	24109.83689
374	24104.25199
375	24098.11899
376	24094.23267
377	24088.34763
378	24080.46188
379	24074.73438
380	24065.9202
381	24060.04923
382	24053.67259
383	24050.25251
384	24046.27357
385	24040.0623
386	24034.43376
387	24031.91114
388	24026.15563
389	24018.57543
390	24007.49085
391	23998.57975
392	23996.89978
393	23992.39387
394	23987.32649
395	23983.58252
396	23979.50313
397	23975.20402
398	23969.94786
399	23958.68914
400	23949.60292
401	23940.49961
402	23933.25301
403	23927.14737
404	23920.88509
405	23915.37918
406	23912.44259
407	23907.19139
408	23900.5758
409	23896.1049
410	23893.51043
411	23890.03587
412	23881.73189
413	23879.90366
414	23877.08142
415	23868.85477
416	23864.11955
417	23858.81664
418	23849.96963
419	23845.71294
420	23837.88143
421	23830.78738
422	23825.36205
423	23816.44598
424	23813.26049
425	23807.18825
426	23803.55854
427	23796.99124
428	23789.88297
429	23785.03421
430	23779.54308
431	23772.64209
432	23769.14804
433	23766.89243
434	23763.84652
435	23755.9949
436	23751.1811
437	23749.35922
438	23743.6275
439	23736.95055
440	23728.39614
441	23715.98095
442	23708.05397
443	23705.45176
444	23697.83198
445	23690.98579
446	23687.40741
447	23685.87191
448	23680.72246
449	23673.87034
450	23665.55636
451	23662.76414
452	23656.40853
453	23646.88456
454	23639.63936
455	23634.5102
456	23627.92799
457	23624.94424
458	23616.83061
459	23612.94553
460	23602.10696
461	23597.3884
462	23587.85247
463	23584.40019
464	23581.15895
465	23574.6458
466	23570.73948
467	23567.98237
468	23561.05728
469	23555.89135
470	23552.80858
471	23545.66349
472	23542.55997
473	23537.62192
474	23530.20785
475	23528.17036
476	23524.67437
477	23521.29055
478	23514.08829
479	23510.94505
480	23507.31925
481	23501.1912
482	23496.42315
483	23494.08059
484	23487.32602
485	23480.57776
486	23479.34256
487	23474.20911
488	23471.53986
489	23463.55862
490	23454.94322
491	23450.34274
492	23442.42031
493	23436.17983
494	23433.14436
495	23430.89211
496	23424.80878
497	23413.34971
498	23408.74416
499	23404.87237
500	23394.47499
501	23392.15899
502	23390.33715
503	23389.09885
504	23384.38245
505	23381.22698
506	23377.18632
507	23364.70825
508	23358.31473
509	23349.99651
510	23345.66403
511	23338.35816
512	23332.36405
513	23331.62037
514	23325.36874
515	23316.84736
516	23311.9728
517	23307.6541
518	23300.39605
519	23296.89589
520	23288.51048
521	23281.68034
522	23272.9181
523	23270.86871
524	23267.72548
525	23258.69378
526	23252.20471
527	23240.74317
528	23232.02297
529	23228.39678
530	23224.33387
531	23219.95588
532	23215.02392
533	23212.17434
534	23201.09489
535	23196.51204
536	23194.64998
537	23184.58202
538	23178.00902
539	23174.0279
540	23167.02069
541	23161.0123
542	23154.47565
543	23149.19857
544	23144.27237
545	23143.24349
546	23137.5707
547	23129.74655
548	23121.54373
549	23116.35468
550	23115.26977
551	23110.12197
552	23099.313
553	23094.35625
554	23091.60958
555	23086.0419
556	23080.28607
557	23079.06101
558	23074.82392
559	23068.3792
560	23064.40778
561	23058.9351
562	23051.67484
563	23048.0892
564	23041.1181
565	23035.1728
566	23032.55975
567	23027.6666
568	23023.4867
569	23017.25451
570	23010.54223
571	23003.95901
572	22997.96734
573	22994.08776
574	22989.91281
575	22984.00685
576	22979.94168
577	22975.05997
578	22972.49382
579	22969.22799
580	22958.29628
581	22954.6175
582	22950.69907
583	22946.33188
584	22941.07905
585	22938.21683
586	22931.07541
587	22924.46511
588	22921.34654
589	22919.35908
590	22912.78067
591	22907.89913
592	22906.31857
593	22903.23299
594	22891.94595
595	22886.98918
596	22883.40642
597	22876.30921
598	22872.72051
599	22868.5508
600	22859.86647
601	22857.54881
602	22850.89787
603	22848.11957
604	22843.48892
605	22836.47646
606	22829.69407
607	22824.3778
608	22818.10172
609	22811.73748
610	22809.741
611	22805.57195
612	22804.03703
613	22798.20962
614	22794.57736
615	22792.46775
616	22783.49289
617	22782.2187
618	22778.10071
619	22772.73358
620	22766.15732
621	22765.30881
622	22762.89611
623	22759.90162
624	22757.01889
625	22750.37584
626	22747.97981
627	22738.22383
628	22733.78298
629	22729.16616
630	22724.61156
631	22720.1492
632	22715.25288
633	22708.61805
634	22697.76286
635	22693.68046
636	22690.62594
637	22686.00554
638	22684.15465
639	22679.0247
640	22675.66861
641	22673.89686
642	22670.54635
643	22666.91203
644	22659.79003
645	22657.74533
646	22653.74767
647	22647.19549
648	22643.82866
649	22635.78537
650	22631.56869
651	22629.50328
652	22625.37692
653	22617.43617
654	22615.01315
655	22609.63375
656	22603.57056
657	22597.6245
658	22588.64375
659	22585.92271
660	22580.5497
661	22578.06209
662	22571.49107
663	22569.94228
664	22567.25149
665	22562.50153
666	22557.61011
667	22553.97331
668	22549.49203
669	22544.11651
670	22538.58243
671	22533.36001
672	22528.49549
673	22523.00217
674	22520.55839
675	22513.68392
676	22508.41899
677	22505.06854
678	22501.63611
679	22499.47568
680	22492.61801
681	22487.29674
682	22481.6591
683	22474.54405
684	22467.17881
685	22462.87999
686	22457.12198
687	22449.60204
688	22448.04745
689	22447.07591
690	22445.37452
691	22440.57418
692	22437.0822
693	22433.43884
694	22430.4227
695	22425.76515
696	22423.02468
697	22420.04552
698	22411.49278
699	22406.02254
700	22404.99442
701	22397.85279
702	22390.19487
703	22386.64953
704	22378.97258
705	22371.98206
706	22368.3402
707	22366.13939
708	22360.35172
709	22358.43445
710	22355.60131
711	22352.62415
712	22351.04283
713	22338.61828
714	22331.70117
715	22328.23295
716	22326.61001
717	22323.04358
718	22321.50575
719	22319.88135
720	22312.35288
721	22310.32287
722	22305.46088
723	22301.78375
724	22299.3482
725	22291.45015
726	22287.80358
727	22280.71721
728	22270.28892
729	22266.87124
730	22264.6258
731	22258.41453
732	22256.24379
733	22248.29287
734	22243.56633
735	22236.16544
736	22231.69373
737	22229.45392
738	22224.14902
739	22222.03965
740	22217.08175
741	22212.76505
742	22208.60071
743	22203.30482
744	22197.41419
745	22191.78064
746	22188.09507
747	22185.5338
748	22181.31921
749	22175.77896
750	22170.52733
751	22162.66271
752	22157.83518
753	22155.74263
754	22149.44903
755	22143.0154
756	22137.14831
757	22131.59734
758	22128.47096
759	22119.5889
760	22115.63547
761	22114.02105
762	22111.08307
763	22106.79397
764	22105.25461
765	22100.5848
766	22094.84604
767	22089.86048
768	22086.28525
769	22081.51528
770	22078.65333
771	22070.95452
772	22069.59105
773	22063.19344
774	22057.67813
775	22056.48317
776	22053.61414
777	22048.54879
778	22044.73896
779	22040.96457
780	22036.73674
781	22029.43341
782	22025.943
783	22024.96014
784	22023.45933
785	22017.56226
786	22016.03351
787	22011.61359
788	22009.18681
789	22003.37906
790	22002.09632
791	21998.66965
792	21990.92473
793	21985.70918
794	21983.41379
795	21981.06741
796	21975.60336
797	21974.71437
798	21968.64307
799	21962.39779
800	21957.93875
801	21953.74356
802	21945.78551
803	21943.24679
804	21937.56658
805	21936.50098
806	21930.77149
807	21924.81146
808	21922.77673
809	21917.32902
810	21913.11465
811	21908.48626
812	21902.16091
813	21895.2708
814	21893.33449
815	21885.9977
816	21885.0569
817	21880.1432
818	21875.43437
819	21872.67363
820	21867.95673
821	21863.06356
822	21857.89557
823	21849.72059
824	21847.33099
825	21844.80358
826	21842.87329
827	21837.61566
828	21834.73029
829	21830.27703
830	21826.67316
831	21822.4894
832	21819.55951
833	21815.70087
834	21813.88243
835	21808.94475
836	21807.1919
837	21802.14769
838	21798.14656
839	21791.53386
840	21787.58017
841	21785.19561
842	21780.56315
843	21777.81113
844	21773.57924
845	21767.54964
846	21764.27794
847	21760.83188
848	21759.7917
849	21755.95488
850	21751.8906
851	21745.65065
852	21740.86937
853	21737.1937
854	21735.47962
855	21731.58691
856	21725.3057
857	21723.2988
858	21721.90779
859	21720.90699
860	21715.88221
861	21712.33524
862	21706.99006
863	21703.59905
864	21701.31645
865	21698.06046
866	21692.90311
867	21688.95487
868	21685.84808
869	21681.98276
870	21679.58804
871	21677.91533
872	21673.76813
873	21671.46997
874	21665.55547
875	21661.58653
876	21651.69294
877	21648.63762
878	21643.56981
879	21641.05619
880	21636.58361
881	21632.63339
882	21630.34796
883	21624.19229
884	21621.72136
885	21615.94601
886	21609.72467
887	21608.36602
888	21606.52818
889	21605.08899
890	21601.8017
891	21597.90753
892	21591.56858
893	21586.59814
894	21580.46254
895	21578.35603
896	21575.39928
897	21567.3219
898	21562.58695
899	21558.71474
900	21553.40419
901	21545.20419
902	21538.18002
903	21535.07269
904	21531.02286
905	21529.52487
906	21527.55248
907	21521.91091
908	21520.45001
909	21516.50299
910	21509.36346
911	21508.10314
912	21503.81192
913	21501.56115
914	21497.76
915	21493.84394
916	21489.69844
917	21483.58028
918	21480.145
919	21476.14891
920	21468.60819
921	21468.02652
922	21465.50867
923	21460.25378
924	21455.08717
925	21451.86089
926	21446.8477
927	21444.43077
928	21442.98803
929	21439.63437
930	21436.64917
931	21435.40327
932	21430.42952
933	21427.15484
934	21423.74517
935	21422.01132
936	21415.65892
937	21410.21575
938	21403.7473
939	21399.09963
940	21392.80336
941	21388.76605
942	21384.35387
943	21383.37476
944	21381.31936
945	21378.17171
946	21374.17063
947	21370.23504
948	21365.37758
949	21363.07739
950	21358.13428
951	21354.97684
952	21350.37541
953	21343.95999
954	21342.79933
955	21339.53801
956	21336.31021
957	21331.60983
958	21327.34464
959	21324.2053
960	21319.31613
961	21315.20928
962	21311.45386
963	21306.58495
964	21300.85987
965	21298.23781
966	21291.68257
967	21288.16829
968	21284.54967
969	21282.48064
970	21280.03164
971	21275.41277
972	21274.77839
973	21271.21217
974	21269.76124
975	21266.31097
976	21260.78464
977	21256.31659
978	21251.42487
979	21246.55843
980	21244.90776
981	21238.83093
982	21232.11933
983	21230.43972
984	21227.61073
985	21223.05362
986	21219.22585
987	21213.50299
988	21211.40887
989	21208.49352
990	21204.21957
991	21201.47544
992	21197.60036
993	21194.53246
994	21190.85769
995	21189.2218
996	21183.58789
997	21182.11444
998	21179.00876
999	21177.42271
