iter	Passed	Remaining
435	3123	4040
436	3131	4034
437	3138	4027
438	3145	4019
439	3151	4011
440	3157	4002
441	3163	3993
442	3171	3987
443	3180	3982
444	3190	3978
445	3198	3973
446	3208	3969
447	3216	3963
448	3227	3960
449	3236	3955
450	3245	3950
451	3254	3945
452	3263	3941
453	3274	3938
454	3285	3935
455	3297	3934
456	3308	3930
457	3318	3927
458	3329	3924
459	3341	3922
460	3350	3917
461	3362	3915
462	3372	3911
463	3381	3905
464	3388	3898
465	3395	3891
466	3402	3883
467	3409	3876
468	3417	3869
469	3424	3861
470	3430	3852
471	3436	3844
472	3442	3835
473	3449	3828
474	3457	3821
475	3464	3814
476	3474	3809
477	3483	3803
478	3490	3796
479	3498	3789
480	3507	3784
481	3515	3778
482	3525	3773
483	3532	3766
484	3538	3757
485	3547	3751
486	3554	3744
487	3561	3736
488	3567	3727
489	3573	3719
490	3579	3710
491	3585	3702
492	3592	3694
493	3597	3684
494	3603	3676
495	3609	3667
496	3615	3659
497	3621	3650
498	3627	3642
499	3633	3633
500	3639	3624
501	3644	3615
502	3650	3607
503	3656	3598
504	3662	3590
505	3668	3581
506	3673	3572
507	3680	3564
508	3685	3555
509	3689	3545
510	3696	3537
511	3703	3530
512	3710	3522
513	3717	3514
514	3723	3506
515	3731	3499
516	3737	3491
517	3743	3483
518	3749	3474
519	3755	3466
520	3761	3458
521	3767	3450
522	3773	3441
523	3778	3432
524	3784	3424
525	3791	3416
526	3796	3407
527	3803	3399
528	3809	3392
529	3818	3385
530	3824	3378
531	3832	3371
532	3839	3363
533	3845	3355
534	3851	3347
535	3857	3339
536	3863	3331
537	3870	3323
538	3876	3315
539	3884	3308
540	3890	3300
541	3899	3295
542	3906	3287
543	3913	3280
544	3921	3274
545	3928	3266
546	3935	3258
547	3941	3250
548	3947	3242
549	3953	3234
550	3959	3226
551	3966	3218
552	3972	3210
553	3979	3203
554	3985	3195
555	3991	3187
556	3997	3179
557	4004	3171
558	4010	3163
559	4017	3156
560	4023	3148
561	4029	3140
562	4036	3132
563	4042	3125
564	4049	3117
565	4055	3109
566	4062	3102
567	4069	3094
568	4075	3087
569	4082	3079
570	4088	3071
571	4095	3064
572	4102	3057
573	4110	3050
574	4118	3043
575	4126	3037
576	4134	3031
577	4143	3025
578	4150	3018
579	4157	3010
580	4164	3003
581	4172	2996
582	4179	2989
583	4186	2982
584	4193	2974
585	4200	2967
586	4207	2960
587	4215	2953
588	4222	2946
589	4230	2939
590	4237	2932
591	4244	2925
592	4251	2918
593	4259	2911
594	4266	2904
595	4274	2897
596	4281	2890
597	4288	2883
598	4296	2876
599	4304	2869
600	4312	2863
601	4320	2856
602	4329	2850
603	4339	2844
604	4348	2838
605	4356	2832
606	4364	2825
607	4374	2820
608	4381	2813
609	4389	2806
610	4397	2799
611	4405	2792
612	4413	2786
613	4420	2779
614	4428	2772
615	4437	2766
616	4445	2759
617	4453	2752
618	4461	2746
619	4470	2739
620	4478	2733
621	4487	2727
622	4496	2720
623	4507	2715
624	4516	2709
625	4526	2704
626	4535	2698
627	4547	2693
628	4557	2688
629	4566	2681
630	4575	2675
631	4583	2669
632	4592	2662
633	4601	2656
634	4611	2650
635	4620	2644
636	4628	2637
637	4636	2630
638	4646	2624
639	4655	2618
640	4664	2612
641	4673	2606
642	4682	2599
643	4691	2593
644	4700	2587
645	4710	2581
646	4719	2575
647	4729	2569
648	4739	2563
649	4750	2557
650	4760	2552
651	4772	2547
652	4784	2542
653	4796	2537
654	4809	2533
655	4823	2529
656	4835	2524
657	4847	2519
658	4858	2513
659	4870	2508
660	4880	2502
661	4889	2496
662	4898	2489
663	4907	2483
664	4917	2477
665	4926	2470
666	4940	2466
667	4951	2460
668	4959	2453
669	4969	2447
670	4978	2440
671	4986	2433
672	4995	2427
673	5005	2421
674	5017	2416
675	5026	2409
676	5035	2402
677	5044	2395
678	5053	2389
679	5063	2382
680	5072	2375
681	5081	2369
682	5089	2362
683	5098	2355
684	5108	2348
685	5118	2343
686	5128	2336
687	5137	2330
688	5148	2323
689	5157	2317
690	5166	2310
691	5175	2303
692	5184	2296
693	5193	2289
694	5202	2282
695	5210	2275
696	5220	2269
697	5230	2262
698	5239	2256
699	5249	2249
700	5259	2243
701	5271	2237
702	5282	2231
703	5295	2226
704	5310	2221
705	5325	2217
706	5338	2212
707	5352	2207
708	5366	2202
709	5382	2198
710	5399	2194
711	5414	2189
712	5426	2184
713	5440	2179
714	5455	2174
715	5469	2169
716	5485	2165
717	5498	2159
718	5509	2153
719	5523	2148
720	5541	2144
721	5555	2139
722	5570	2134
723	5584	2128
724	5601	2124
725	5616	2119
726	5629	2114
727	5641	2107
728	5655	2102
729	5666	2095
730	5680	2090
731	5692	2083
732	5708	2079
733	5720	2073
734	5735	2067
735	5750	2062
736	5763	2056
737	5776	2050
738	5788	2044
739	5801	2038
740	5822	2035
741	5838	2030
742	5853	2024
743	5870	2020
744	5888	2015
745	5903	2009
746	5919	2004
747	5932	1998
748	5948	1993
749	5962	1987
750	5976	1981
751	5990	1975
752	6004	1969
753	6017	1963
754	6033	1957
755	6047	1951
756	6064	1946
757	6079	1941
758	6098	1936
759	6114	1930
760	6127	1924
761	6142	1918
762	6160	1913
763	6173	1907
764	6188	1900
765	6202	1894
766	6214	1887
767	6228	1881
768	6243	1875
769	6257	1869
770	6274	1863
771	6288	1857
772	6302	1850
773	6318	1844
774	6332	1838
775	6346	1831
776	6358	1824
777	6370	1817
778	6386	1811
779	6398	1804
780	6412	1798
781	6425	1791
782	6438	1784
783	6449	1776
784	6460	1769
785	6469	1761
786	6480	1753
787	6495	1747
788	6505	1739
789	6514	1731
790	6524	1723
791	6535	1716
792	6544	1708
793	6553	1700
794	6562	1692
795	6572	1684
796	6581	1676
797	6592	1668
798	6603	1661
799	6614	1653
800	6624	1645
801	6634	1637
802	6644	1629
803	6653	1621
804	6662	1613
805	6671	1605
806	6681	1597
807	6690	1589
808	6699	1581
809	6708	1573
810	6718	1565
811	6727	1557
812	6737	1549
813	6747	1541
814	6757	1533
815	6766	1525
816	6776	1517
817	6787	1510
818	6801	1503
819	6813	1495
820	6830	1489
821	6844	1482
822	6857	1474
823	6868	1467
824	6883	1460
825	6900	1453
826	6915	1446
827	6927	1439
828	6942	1432
829	6956	1424
830	6968	1417
831	6979	1409
832	6989	1401
833	6999	1393
834	7011	1385
835	7022	1377
836	7033	1369
837	7046	1362
838	7055	1353
839	7066	1345
840	7075	1337
841	7085	1329
842	7095	1321
843	7104	1313
844	7113	1304
845	7122	1296
846	7132	1288
847	7142	1280
848	7152	1272
849	7162	1263
850	7172	1255
851	7181	1247
852	7191	1239
853	7201	1231
854	7215	1223
855	7227	1215
856	7238	1207
857	7249	1199
858	7259	1191
859	7269	1183
860	7278	1175
861	7288	1166
862	7297	1158
863	7307	1150
864	7316	1141
865	7326	1133
866	7336	1125
867	7345	1117
868	7354	1108
869	7363	1100
870	7371	1091
871	7379	1083
872	7390	1075
873	7399	1066
874	7407	1058
875	7417	1050
876	7427	1041
877	7436	1033
878	7446	1025
879	7455	1016
880	7465	1008
881	7474	1000
882	7483	991
883	7493	983
884	7503	974
885	7511	966
886	7520	958
887	7529	949
888	7538	941
889	7546	932
890	7555	924
891	7564	915
892	7572	907
893	7581	898
894	7590	890
895	7598	882
896	7607	873
897	7616	865
898	7630	857
899	7640	848
900	7650	840
901	7660	832
902	7670	823
903	7679	815
904	7688	807
905	7697	798
906	7706	790
907	7714	781
908	7723	773
909	7731	764
910	7740	756
911	7749	747
912	7757	739
913	7765	730
914	7774	722
915	7784	713
916	7793	705
917	7804	697
918	7814	688
919	7826	680
920	7836	672
921	7847	663
922	7861	655
923	7874	647
924	7889	639
925	7904	631
926	7924	624
927	7937	615
928	7952	607
929	7968	599
930	7987	591
931	8000	583
932	8013	575
933	8025	567
934	8056	560
935	8067	551
936	8077	543
937	8089	534
938	8099	526
939	8108	517
940	8117	508
941	8127	500
942	8136	491
943	8145	483
944	8153	474
945	8162	465
946	8171	457
947	8180	448
948	8190	440
949	8199	431
950	8208	422
951	8217	414
952	8228	405
953	8238	397
954	8249	388
955	8259	380
956	8271	371
957	8282	363
958	8292	354
959	8302	345
960	8314	337
961	8323	328
962	8337	320
963	8347	311
964	8356	303
965	8366	294
966	8376	285
967	8386	277
968	8396	268
969	8405	259
970	8415	251
971	8424	242
972	8436	234
973	8450	225
974	8461	216
975	8470	208
976	8480	199
977	8489	190
978	8497	182
979	8506	173
980	8515	164
981	8525	156
982	8536	147
983	8547	138
984	8556	130
985	8565	121
986	8574	112
987	8584	104
988	8593	95
989	8603	86
990	8613	78
991	8623	69
992	8634	60
993	8646	52
994	8657	43
995	8668	34
996	8679	26
997	8690	17
998	8702	8
999	8716	0
